,id,has_startup
699,jl_fb86620734f305fe,1
700,jl_3b2e3adb4fd427d9,1
701,jl_f03b82f8c5e1232c,1
702,jl_5a6e02e87d78404f,1
703,jl_077daac3b8b47c18,1
704,jl_1ca5bc2189c569ba,1
705,jl_974be8244344ce39,1
706,jl_21b8f2d75ccf375e,1
707,jl_41a87cad013dfc82,1
708,jl_dff5d19275e92423,1
709,jl_80ebfd1608c2497b,1
710,jl_d0867b967589a872,1
711,jl_df8869e3cfee419a,1
712,jl_7663507b6814a310,1
713,jl_20fe3d419e58809c,1
714,jl_a5e6280afef0b3bf,1
715,jl_2864d1437c2dfa23,1
716,jl_caae85351cd782ca,1
717,jl_7f53f8a7cd5a7725,1
718,jl_80d79eb20b01d7e7,1
719,jl_1cd14944abbffaeb,1
720,jl_4222734a19f8404a,1
721,jl_d2cbe8875b6fdc51,1
722,jl_b75c6d151955805c,1
723,jl_7272a43dd9515d20,1
724,jl_b031af5d10006e7d,1
725,jl_39b6dfd1dadfb833,1
726,jl_3114e9d13f4b4aad,1
727,jl_4c7626db5e2e9dda,1
728,jl_ca9a6e8948c95c60,1
729,jl_8c70839af57a7428,1
730,jl_f204071115217471,1
731,jl_d0421b3d39341b5c,1
732,jl_52a8e2e10b8551c2,1
733,jl_29b2fe18235e65fa,1
734,jl_30e53ef111c48496,1
735,jl_b3fee06f9d3e7937,1
736,jl_2f41402b0d1e22a6,1
737,jl_1498023d1041b9af,1
738,jl_9cd5e15b0d52ac3d,1
739,jl_6a906b0d00ff7337,1
740,jl_6bd6dccd747afaf5,1
741,jl_614cffda2822b594,1
742,jl_7ca7ec20e8a87bef,1
743,jl_c324e34081c43ddf,1
744,jl_c7719c15b50f09d9,1
745,jl_102a2bd673d4940d,1
746,jl_494b878f92dec490,1
747,jl_e408261828aa95e7,1
748,jl_ee52cf57a3b6cea7,1
