account_key,join_date,cancel_date,days_active,status
180,2015-01-12,2015-08-27,228,1
181,2014-11-13,2015-08-27,288,1
182,2015-05-08,2015-08-27,112,1
183,2015-04-01,2015-08-27,149,1
184,2015-05-12,2015-08-27,108,1
185,2014-11-12,2015-08-27,289,1
186,2014-11-14,2015-08-27,287,1
187,2014-11-12,2015-04-19,159,0
188,2014-11-16,2015-08-27,285,1
189,2015-05-12,2015-08-27,108,1
190,2015-02-11,2015-08-27,198,1
191,2014-11-16,2015-08-27,285,1
192,2015-05-09,2015-08-27,111,1
193,2014-12-08,2015-08-27,263,1
194,2014-11-10,2015-08-27,291,1
195,2014-11-10,2015-08-27,291,1
196,2015-06-03,2015-08-27,86,1
197,2015-01-07,2015-06-14,159,0
198,2014-11-10,2015-08-27,291,1
199,2015-05-30,2015-08-27,90,1
200,2015-05-12,2015-08-27,108,1
201,2015-04-24,2015-08-27,126,1
202,2014-12-03,2015-08-27,268,1
203,2014-11-15,2015-07-19,247,0
204,2014-11-10,2015-08-27,291,1
205,2015-04-01,2015-08-27,149,1
206,2014-11-10,2015-08-27,291,1
207,2015-01-07,2015-08-27,233,1
208,2015-03-08,2015-06-15,100,0
209,2014-12-05,2015-08-27,266,1
210,2015-03-11,2015-08-27,170,1
211,2015-05-06,2015-08-27,114,1
212,2015-04-24,2015-08-27,126,1
213,2015-07-14,2015-08-27,45,1
214,2015-01-12,2015-08-27,228,1
215,2014-11-14,2015-08-27,287,1
216,2015-06-02,2015-08-27,87,1
217,2014-11-14,2015-08-27,287,1
218,2015-07-08,2015-08-27,51,1
219,2015-06-06,2015-08-27,83,1
220,2015-04-07,2015-08-27,143,1
221,2014-12-03,2015-02-10,70,0
222,2014-11-17,2015-08-27,284,1
223,2014-11-10,2015-08-27,291,1
224,2014-11-10,2015-08-27,291,1
225,2014-11-10,2015-08-27,291,1
226,2015-06-08,2015-08-27,81,1
227,2014-11-12,2015-08-27,289,1
228,2015-05-07,2015-08-27,113,1
229,2015-01-07,2015-06-14,159,0
230,2014-11-10,2015-08-27,291,1
231,2014-11-14,2015-08-27,287,1
232,2015-01-08,2015-08-27,232,1
233,2015-03-06,2015-08-27,175,1
234,2014-11-11,2015-08-27,290,1
235,2015-05-11,2015-08-27,109,1
236,2015-05-10,2015-08-27,110,1
237,2015-05-10,2015-08-27,110,1
238,2015-07-13,2015-08-27,46,1
239,2015-03-04,2015-08-27,177,1
240,2015-04-24,2015-08-27,126,1
241,2014-12-08,2015-08-27,263,1
242,2015-05-11,2015-08-27,109,1
243,2014-11-16,2015-04-15,151,0
244,2014-12-04,2015-08-27,267,1
245,2014-11-14,2015-08-27,287,1
246,2015-04-01,2015-08-27,149,1
248,2015-06-09,2015-08-27,80,1
249,2015-05-12,2015-08-27,108,1
250,2015-01-12,2015-08-27,228,1
251,2015-02-06,2015-08-27,203,1
252,2015-05-12,2015-08-27,108,1
253,2014-11-16,2015-08-27,285,1
254,2014-11-14,2015-08-27,287,1
255,2015-05-06,2015-08-27,114,1
256,2014-12-03,2015-06-10,190,0
257,2014-11-15,2015-08-27,286,1
258,2014-11-10,2015-07-17,250,0
259,2015-03-05,2015-07-14,132,0
260,2015-05-11,2015-08-27,109,1
261,2014-11-16,2015-02-23,100,0
262,2015-04-24,2015-08-27,126,1
263,2015-01-10,2015-08-27,230,1
264,2014-12-03,2015-02-25,85,0
265,2014-12-04,2015-01-11,39,0
266,2015-06-06,2015-08-27,83,1
267,2015-04-24,2015-08-27,126,1
268,2014-11-10,2015-08-10,274,0
269,2015-04-02,2015-08-27,148,1
270,2015-01-09,2015-05-31,143,0
271,2015-07-08,2015-08-27,51,1
272,2015-01-08,2015-05-15,128,0
273,2014-11-14,2015-08-27,287,1
274,2015-05-06,2015-08-27,114,1
275,2014-11-12,2015-08-27,289,1
276,2015-05-10,2015-08-27,110,1
277,2014-11-15,2015-08-27,286,1
278,2014-12-04,2015-08-27,267,1
279,2015-02-05,2015-08-27,204,1
280,2014-11-15,2015-08-27,286,1
281,2014-11-14,2015-08-27,287,1
282,2014-11-14,2015-08-27,287,1
283,2014-11-13,2015-08-27,288,1
284,2015-02-09,2015-08-27,200,1
285,2015-01-07,2015-08-27,233,1
286,2015-07-08,2015-08-27,51,1
287,2015-05-11,2015-08-27,109,1
288,2014-12-03,2015-08-27,268,1
289,2015-04-07,2015-07-14,99,0
290,2015-05-30,2015-08-27,90,1
291,2015-04-02,2015-08-27,148,1
