,store_number,zipcode,County,2015_margin_avg_$,2015_price_avg_$pL,2015_volume_total_L,2015_volume_avg_L,2015_sales_total_$,2015_sales_avg_$,city,County number,2015Q1_sales_total_$,2015Q1_volume_total_L,2016Q1_sales_total_$,2016Q1_volume_total_L,First Date,Last Date
945,4820,51240,Lyon,16.004407894736843,15.6707189849624,594.3000000000001,3.909868421052632,7276.27,47.87019736842105,INWOOD,60,1748.2600000000002,147.15,2824.0200000000004,174.55,2015-03-10,2016-03-22
946,4821,52577,Mahaska,42.35086956521739,12.754886128364388,254.69999999999996,11.073913043478258,2919.18,126.92086956521739,OSKALOOSA,62,997.08,63.6,139.1,7.75,2015-02-24,2016-03-29
947,4823,50801,Union,20.439999999999994,16.92529231683078,185.25,5.006756756756757,2267.58,61.28594594594595,CRESTON,88,607.3900000000001,40.870000000000005,143.63,16.75,2015-01-15,2016-03-24
948,4824,50801,Union,39.042941176470585,19.443893557422967,256.70000000000005,7.550000000000002,3972.6399999999994,116.84235294117646,CRESTON,88,1034.3899999999999,72.4,2709.1999999999994,116.1,2015-02-18,2016-03-16
949,4825,50213,Clarke,33.62693877551019,16.70651117589893,329.0,6.714285714285714,4921.419999999999,100.43714285714285,OSCEOLA,20,1557.1599999999999,73.25,596.9399999999999,37.5,2015-01-05,2016-03-21
950,4827,52240,Johnson,47.483913043478275,21.884054520358873,1204.2,8.726086956521739,19624.390000000003,142.2057246376812,IOWA CITY,52,4041.78,223.60000000000002,2447.1700000000005,196.18,2015-06-24,2016-03-30
951,4828,50158,Marshall,67.9175,16.421626984126984,357.6,14.9,4887.9,203.6625,MARSHALLTOWN,64,991.32,67.5,565.0000000000001,32.1,2015-01-06,2016-03-15
952,4829,50314,Polk,159.54825041005967,21.364068187143644,50645.740000000005,27.690399125205033,874664.1800000037,478.21989065063076,DES MOINES,77,203417.63000000015,11637.25,5641.92,118.3,2015-01-06,2016-03-08
953,4831,50036,Boone,19.104871794871794,18.98372405372405,191.8,4.917948717948718,2224.129999999999,57.02897435897434,BOONE,8,321.81,22.5,584.9799999999999,35.95,2015-01-05,2016-03-28
954,4836,52240,Johnson,33.436282051282056,17.183365145503675,575.0300000000002,7.37217948717949,7815.83,100.20294871794871,IOWA CITY,52,2441.55,211.0,631.1700000000001,48.120000000000005,2015-01-27,2016-03-22
955,4837,52240,Johnson,34.46939759036144,15.621851692484222,652.52,7.861686746987951,8566.72,103.2134939759036,IOWA CITY,52,1614.21,123.75,351.18,33.0,2015-01-05,2016-01-25
956,4838,50212,Boone,37.02923076923077,17.35010989010989,101.4,7.800000000000001,1443.1499999999999,111.01153846153845,OGDEN,8,219.12,6.9,2602.8000000000006,212.25,2015-01-06,2016-03-29
957,4839,50459,Worth,39.25504761904764,14.485724549468912,1134.0800000000002,10.800761904761906,12309.749999999998,117.23571428571427,Northwood,98,2801.3,213.75,422.24,20.1,2015-01-06,2016-03-22
958,4840,50707,Black Hawk,25.945544554455445,22.831578761259593,400.4500000000001,3.964851485148516,7856.090000000002,77.78306930693071,WATERLOO,7,1861.7500000000002,108.02,258.53999999999996,18.009999999999998,2015-01-07,2016-03-30
959,4841,52804,Scott,31.71333333333334,20.214481074481075,219.75,5.634615384615385,3708.76,95.09641025641027,DAVENPORT,82,687.12,42.55,1018.84,61.0,2015-03-23,2016-03-21
960,4843,52761,Muscatine,15.664594594594599,23.865666023166025,92.38,2.496756756756757,1737.7700000000002,46.966756756756766,MUSCATINE,70,180.83,6.119999999999999,1728.3100000000002,116.97999999999999,2015-01-05,2016-03-28
961,4844,52240,Johnson,15.53108695652174,20.13478310426853,127.55000000000001,2.7728260869565218,2137.9000000000005,46.47608695652175,IOWA CITY,52,561.54,31.990000000000002,1425.3599999999997,117.0,2015-01-22,2016-02-25
962,4845,52401,Linn,40.03591836734694,23.024693305893788,406.44999999999993,8.294897959183672,5881.79,120.0365306122449,CEDAR RAPIDS,57,1072.61,61.5,3580.2599999999998,210.7,2015-01-05,2016-02-22
963,4846,51040,Monona,37.39892857142856,16.463384353741496,201.6,7.2,3138.69,112.09607142857143,ONAWA,67,1122.78,77.1,2685.36,209.54999999999998,2015-01-28,2016-03-09
964,4847,52753,Scott,22.887092511013236,17.469657508543133,1258.4299999999996,5.543744493392069,15528.34999999999,68.40682819383255,LECLAIRE,82,4775.9,491.24,2418.8,162.37,2015-01-08,2016-03-10
